id,p_s,path,subject_id,text
410,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryFVCRel'], '<https://w3id.org/brainteaser/ontology/schema/pulmonaryFVCRel>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryFVCRel']",<https://w3id.org/brainteaser/ontology/schema/pulmonaryFVCRel>,Intervention or Procedure Diagnostic Procedure Pulmonary Function Test pulmonaryFVCRel
411,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryMEPAbs'], '<https://w3id.org/brainteaser/ontology/schema/pulmonaryMEPAbs>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryMEPAbs']",<https://w3id.org/brainteaser/ontology/schema/pulmonaryMEPAbs>,Intervention or Procedure Diagnostic Procedure Pulmonary Function Test pulmonaryMEPAbs
412,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryMIPAbs'], '<https://w3id.org/brainteaser/ontology/schema/pulmonaryMIPAbs>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryMIPAbs']",<https://w3id.org/brainteaser/ontology/schema/pulmonaryMIPAbs>,Intervention or Procedure Diagnostic Procedure Pulmonary Function Test pulmonaryMIPAbs
413,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryPCO2'], '<https://w3id.org/brainteaser/ontology/schema/pulmonaryPCO2>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryPCO2']",<https://w3id.org/brainteaser/ontology/schema/pulmonaryPCO2>,Intervention or Procedure Diagnostic Procedure Pulmonary Function Test pulmonaryPCO2
414,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryPO2'], '<https://w3id.org/brainteaser/ontology/schema/pulmonaryPO2>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryPO2']",<https://w3id.org/brainteaser/ontology/schema/pulmonaryPO2>,Intervention or Procedure Diagnostic Procedure Pulmonary Function Test pulmonaryPO2
415,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryVCAbs'], '<https://w3id.org/brainteaser/ontology/schema/pulmonaryVCAbs>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Pulmonary Function Test', 'pulmonaryVCAbs']",<https://w3id.org/brainteaser/ontology/schema/pulmonaryVCAbs>,Intervention or Procedure Diagnostic Procedure Pulmonary Function Test pulmonaryVCAbs
416,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs1'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs1>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs1']",<https://w3id.org/brainteaser/ontology/schema/alsfrs1>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs1
417,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs10'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs10>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs10']",<https://w3id.org/brainteaser/ontology/schema/alsfrs10>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs10
418,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs11'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs11>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs11']",<https://w3id.org/brainteaser/ontology/schema/alsfrs11>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs11
419,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs12'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs12>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs12']",<https://w3id.org/brainteaser/ontology/schema/alsfrs12>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs12
420,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs2'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs2>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs2']",<https://w3id.org/brainteaser/ontology/schema/alsfrs2>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs2
421,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs3'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs3>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs3']",<https://w3id.org/brainteaser/ontology/schema/alsfrs3>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs3
422,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs4'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs4>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs4']",<https://w3id.org/brainteaser/ontology/schema/alsfrs4>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs4
423,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs5'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs5>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs5']",<https://w3id.org/brainteaser/ontology/schema/alsfrs5>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs5
424,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs6'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs6>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs6']",<https://w3id.org/brainteaser/ontology/schema/alsfrs6>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs6
425,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs7'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs7>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs7']",<https://w3id.org/brainteaser/ontology/schema/alsfrs7>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs7
426,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs8'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs8>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs8']",<https://w3id.org/brainteaser/ontology/schema/alsfrs8>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs8
427,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs9'], '<https://w3id.org/brainteaser/ontology/schema/alsfrs9>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrs9']",<https://w3id.org/brainteaser/ontology/schema/alsfrs9>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrs9
428,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrsOriginal10'], '<https://w3id.org/brainteaser/ontology/schema/alsfrsOriginal10>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'alsfrsOriginal10']",<https://w3id.org/brainteaser/ontology/schema/alsfrsOriginal10>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) alsfrsOriginal10
429,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'bulbarSubscore'], '<https://w3id.org/brainteaser/ontology/schema/bulbarSubscore>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'bulbarSubscore']",<https://w3id.org/brainteaser/ontology/schema/bulbarSubscore>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) bulbarSubscore
430,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'motorSubscore'], '<https://w3id.org/brainteaser/ontology/schema/motorSubscore>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'motorSubscore']",<https://w3id.org/brainteaser/ontology/schema/motorSubscore>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) motorSubscore
431,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'originalALSFRS'], '<https://w3id.org/brainteaser/ontology/schema/originalALSFRS>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'originalALSFRS']",<https://w3id.org/brainteaser/ontology/schema/originalALSFRS>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) originalALSFRS
432,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'respiratorySubscore'], '<https://w3id.org/brainteaser/ontology/schema/respiratorySubscore>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'respiratorySubscore']",<https://w3id.org/brainteaser/ontology/schema/respiratorySubscore>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) respiratorySubscore
433,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'revisedALSFRS'], '<https://w3id.org/brainteaser/ontology/schema/revisedALSFRS>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS)', 'revisedALSFRS']",<https://w3id.org/brainteaser/ontology/schema/revisedALSFRS>,Intervention or Procedure Diagnostic Procedure Questionnaire Amyotrophic Lateral Sclerosis Functional Rating Scale (ALSFRS) revisedALSFRS
434,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', ""King's Clinical Staging Method"", 'kingsValue'], '<https://w3id.org/brainteaser/ontology/schema/kingsValue>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', ""King's Clinical Staging Method"", 'kingsValue']",<https://w3id.org/brainteaser/ontology/schema/kingsValue>,Intervention or Procedure Diagnostic Procedure Questionnaire King's Clinical Staging Method kingsValue
435,"(['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Milano-Torino Functional Staging System (MiToS)', 'mitosValue'], '<https://w3id.org/brainteaser/ontology/schema/mitosValue>')","['Intervention or Procedure', 'Diagnostic Procedure', 'Questionnaire', 'Milano-Torino Functional Staging System (MiToS)', 'mitosValue']",<https://w3id.org/brainteaser/ontology/schema/mitosValue>,Intervention or Procedure Diagnostic Procedure Questionnaire Milano-Torino Functional Staging System (MiToS) mitosValue
436,"(['Intervention or Procedure', 'Surgical Procedure', 'surgicalType'], '<https://w3id.org/brainteaser/ontology/schema/surgicalType>')","['Intervention or Procedure', 'Surgical Procedure', 'surgicalType']",<https://w3id.org/brainteaser/ontology/schema/surgicalType>,Intervention or Procedure Surgical Procedure surgicalType
437,"(['Intervention or Procedure', 'Therapeutic Procedure', 'performedTreatment'], '<https://w3id.org/brainteaser/ontology/schema/performedTreatment>')","['Intervention or Procedure', 'Therapeutic Procedure', 'performedTreatment']",<https://w3id.org/brainteaser/ontology/schema/performedTreatment>,Intervention or Procedure Therapeutic Procedure performedTreatment
438,"(['Kinship', 'hasKinshipType'], '<https://w3id.org/brainteaser/ontology/schema/hasKinshipType>')","['Kinship', 'hasKinshipType']",<https://w3id.org/brainteaser/ontology/schema/hasKinshipType>,Kinship hasKinshipType
439,"(['Kinship', 'inKinshipWith'], '<https://w3id.org/brainteaser/ontology/schema/inKinshipWith>')","['Kinship', 'inKinshipWith']",<https://w3id.org/brainteaser/ontology/schema/inKinshipWith>,Kinship inKinshipWith
440,"(['KinshipType', 'Third Degree Relative'], '<http://purl.obolibrary.org/obo/NCIT_C100808>')","['KinshipType', 'Third Degree Relative']",<http://purl.obolibrary.org/obo/NCIT_C100808>,KinshipType Third Degree Relative
441,"(['KinshipType', 'Brother'], '<http://purl.obolibrary.org/obo/NCIT_C111201>')","['KinshipType', 'Brother']",<http://purl.obolibrary.org/obo/NCIT_C111201>,KinshipType Brother
442,"(['KinshipType', 'Sister'], '<http://purl.obolibrary.org/obo/NCIT_C111202>')","['KinshipType', 'Sister']",<http://purl.obolibrary.org/obo/NCIT_C111202>,KinshipType Sister
443,"(['KinshipType', 'Second Degree Relative'], '<http://purl.obolibrary.org/obo/NCIT_C19811>')","['KinshipType', 'Second Degree Relative']",<http://purl.obolibrary.org/obo/NCIT_C19811>,KinshipType Second Degree Relative
444,"(['KinshipType', 'First Degree Relative'], '<http://purl.obolibrary.org/obo/NCIT_C21481>')","['KinshipType', 'First Degree Relative']",<http://purl.obolibrary.org/obo/NCIT_C21481>,KinshipType First Degree Relative
445,"(['KinshipType', 'Daughter'], '<http://purl.obolibrary.org/obo/NCIT_C25165>')","['KinshipType', 'Daughter']",<http://purl.obolibrary.org/obo/NCIT_C25165>,KinshipType Daughter
446,"(['KinshipType', 'Father'], '<http://purl.obolibrary.org/obo/NCIT_C25174>')","['KinshipType', 'Father']",<http://purl.obolibrary.org/obo/NCIT_C25174>,KinshipType Father
447,"(['KinshipType', 'Mother'], '<http://purl.obolibrary.org/obo/NCIT_C25189>')","['KinshipType', 'Mother']",<http://purl.obolibrary.org/obo/NCIT_C25189>,KinshipType Mother
448,"(['KinshipType', 'Son'], '<http://purl.obolibrary.org/obo/NCIT_C25205>')","['KinshipType', 'Son']",<http://purl.obolibrary.org/obo/NCIT_C25205>,KinshipType Son
449,"(['KinshipType', 'Grandson'], '<http://purl.obolibrary.org/obo/NCIT_C71398>')","['KinshipType', 'Grandson']",<http://purl.obolibrary.org/obo/NCIT_C71398>,KinshipType Grandson
450,"(['KinshipType', 'Granddaughter'], '<http://purl.obolibrary.org/obo/NCIT_C71399>')","['KinshipType', 'Granddaughter']",<http://purl.obolibrary.org/obo/NCIT_C71399>,KinshipType Granddaughter
451,"(['KinshipType', 'Niece'], '<http://purl.obolibrary.org/obo/NCIT_C71408>')","['KinshipType', 'Niece']",<http://purl.obolibrary.org/obo/NCIT_C71408>,KinshipType Niece
452,"(['KinshipType', 'Nephew'], '<http://purl.obolibrary.org/obo/NCIT_C71409>')","['KinshipType', 'Nephew']",<http://purl.obolibrary.org/obo/NCIT_C71409>,KinshipType Nephew
453,"(['KinshipType', 'Cousin'], '<http://purl.obolibrary.org/obo/NCIT_C71410>')","['KinshipType', 'Cousin']",<http://purl.obolibrary.org/obo/NCIT_C71410>,KinshipType Cousin
454,"(['KinshipType', 'First Cousin'], '<http://purl.obolibrary.org/obo/NCIT_C71411>')","['KinshipType', 'First Cousin']",<http://purl.obolibrary.org/obo/NCIT_C71411>,KinshipType First Cousin
455,"(['KinshipType', 'Aunt'], '<http://purl.obolibrary.org/obo/NCIT_C96569>')","['KinshipType', 'Aunt']",<http://purl.obolibrary.org/obo/NCIT_C96569>,KinshipType Aunt
456,"(['KinshipType', 'Grandfather'], '<http://purl.obolibrary.org/obo/NCIT_C96573>')","['KinshipType', 'Grandfather']",<http://purl.obolibrary.org/obo/NCIT_C96573>,KinshipType Grandfather
457,"(['KinshipType', 'Grandmother'], '<http://purl.obolibrary.org/obo/NCIT_C96574>')","['KinshipType', 'Grandmother']",<http://purl.obolibrary.org/obo/NCIT_C96574>,KinshipType Grandmother
458,"(['KinshipType', 'Maternal Aunt'], '<http://purl.obolibrary.org/obo/NCIT_C96575>')","['KinshipType', 'Maternal Aunt']",<http://purl.obolibrary.org/obo/NCIT_C96575>,KinshipType Maternal Aunt
459,"(['KinshipType', 'Maternal Uncle'], '<http://purl.obolibrary.org/obo/NCIT_C96579>')","['KinshipType', 'Maternal Uncle']",<http://purl.obolibrary.org/obo/NCIT_C96579>,KinshipType Maternal Uncle
460,"(['KinshipType', 'Paternal Aunt'], '<http://purl.obolibrary.org/obo/NCIT_C96581>')","['KinshipType', 'Paternal Aunt']",<http://purl.obolibrary.org/obo/NCIT_C96581>,KinshipType Paternal Aunt
461,"(['KinshipType', 'Paternal Uncle'], '<http://purl.obolibrary.org/obo/NCIT_C96585>')","['KinshipType', 'Paternal Uncle']",<http://purl.obolibrary.org/obo/NCIT_C96585>,KinshipType Paternal Uncle
462,"(['KinshipType', 'Uncle'], '<http://purl.obolibrary.org/obo/NCIT_C96587>')","['KinshipType', 'Uncle']",<http://purl.obolibrary.org/obo/NCIT_C96587>,KinshipType Uncle
463,"(['Laboratory Test Result', 'componentName'], '<https://w3id.org/brainteaser/ontology/schema/componentName>')","['Laboratory Test Result', 'componentName']",<https://w3id.org/brainteaser/ontology/schema/componentName>,Laboratory Test Result componentName
464,"(['Laboratory Test Result', 'measuredLevel'], '<https://w3id.org/brainteaser/ontology/schema/measuredLevel>')","['Laboratory Test Result', 'measuredLevel']",<https://w3id.org/brainteaser/ontology/schema/measuredLevel>,Laboratory Test Result measuredLevel
465,"(['Laboratory Test Result', 'normalLevel'], '<https://w3id.org/brainteaser/ontology/schema/normalLevel>')","['Laboratory Test Result', 'normalLevel']",<https://w3id.org/brainteaser/ontology/schema/normalLevel>,Laboratory Test Result normalLevel
466,"(['Laboratory Test Result', 'positivityResult'], '<https://w3id.org/brainteaser/ontology/schema/positivityResult>')","['Laboratory Test Result', 'positivityResult']",<https://w3id.org/brainteaser/ontology/schema/positivityResult>,Laboratory Test Result positivityResult
467,"(['Laboratory Test Result', 'unitOfMeasure'], '<https://w3id.org/brainteaser/ontology/schema/unitOfMeasure>')","['Laboratory Test Result', 'unitOfMeasure']",<https://w3id.org/brainteaser/ontology/schema/unitOfMeasure>,Laboratory Test Result unitOfMeasure
468,"(['Occupation', 'Armed forces occupations'], '<http://data.europa.eu/esco/isco/C0>')","['Occupation', 'Armed forces occupations']",<http://data.europa.eu/esco/isco/C0>,Occupation Armed forces occupations
469,"(['Occupation', 'Commissioned armed forces officers'], '<http://data.europa.eu/esco/isco/C01>')","['Occupation', 'Commissioned armed forces officers']",<http://data.europa.eu/esco/isco/C01>,Occupation Commissioned armed forces officers
470,"(['Occupation', 'Non-commissioned armed forces officers'], '<http://data.europa.eu/esco/isco/C02>')","['Occupation', 'Non-commissioned armed forces officers']",<http://data.europa.eu/esco/isco/C02>,Occupation Non-commissioned armed forces officers
471,"(['Occupation', 'Armed forces occupations, other ranks'], '<http://data.europa.eu/esco/isco/C03>')","['Occupation', 'Armed forces occupations, other ranks']",<http://data.europa.eu/esco/isco/C03>,"Occupation Armed forces occupations, other ranks"
472,"(['Occupation', 'Managers'], '<http://data.europa.eu/esco/isco/C1>')","['Occupation', 'Managers']",<http://data.europa.eu/esco/isco/C1>,Occupation Managers
473,"(['Occupation', 'Chief executives, senior officials and legislators'], '<http://data.europa.eu/esco/isco/C11>')","['Occupation', 'Chief executives, senior officials and legislators']",<http://data.europa.eu/esco/isco/C11>,"Occupation Chief executives, senior officials and legislators"
474,"(['Occupation', 'Administrative and commercial managers'], '<http://data.europa.eu/esco/isco/C12>')","['Occupation', 'Administrative and commercial managers']",<http://data.europa.eu/esco/isco/C12>,Occupation Administrative and commercial managers
475,"(['Occupation', 'Production and specialised services managers'], '<http://data.europa.eu/esco/isco/C13>')","['Occupation', 'Production and specialised services managers']",<http://data.europa.eu/esco/isco/C13>,Occupation Production and specialised services managers
476,"(['Occupation', 'Hospitality, retail and other services managers'], '<http://data.europa.eu/esco/isco/C14>')","['Occupation', 'Hospitality, retail and other services managers']",<http://data.europa.eu/esco/isco/C14>,"Occupation Hospitality, retail and other services managers"
477,"(['Occupation', 'Professionals'], '<http://data.europa.eu/esco/isco/C2>')","['Occupation', 'Professionals']",<http://data.europa.eu/esco/isco/C2>,Occupation Professionals
478,"(['Occupation', 'Science and engineering professionals'], '<http://data.europa.eu/esco/isco/C21>')","['Occupation', 'Science and engineering professionals']",<http://data.europa.eu/esco/isco/C21>,Occupation Science and engineering professionals
479,"(['Occupation', 'Health professionals'], '<http://data.europa.eu/esco/isco/C22>')","['Occupation', 'Health professionals']",<http://data.europa.eu/esco/isco/C22>,Occupation Health professionals
480,"(['Occupation', 'Teaching professionals'], '<http://data.europa.eu/esco/isco/C23>')","['Occupation', 'Teaching professionals']",<http://data.europa.eu/esco/isco/C23>,Occupation Teaching professionals
481,"(['Occupation', 'Business and administration professionals'], '<http://data.europa.eu/esco/isco/C24>')","['Occupation', 'Business and administration professionals']",<http://data.europa.eu/esco/isco/C24>,Occupation Business and administration professionals
482,"(['Occupation', 'Information and communications technology professionals'], '<http://data.europa.eu/esco/isco/C25>')","['Occupation', 'Information and communications technology professionals']",<http://data.europa.eu/esco/isco/C25>,Occupation Information and communications technology professionals
483,"(['Occupation', 'Legal, social and cultural professionals'], '<http://data.europa.eu/esco/isco/C26>')","['Occupation', 'Legal, social and cultural professionals']",<http://data.europa.eu/esco/isco/C26>,"Occupation Legal, social and cultural professionals"
484,"(['Occupation', 'Technicians and associate professionals'], '<http://data.europa.eu/esco/isco/C3>')","['Occupation', 'Technicians and associate professionals']",<http://data.europa.eu/esco/isco/C3>,Occupation Technicians and associate professionals
485,"(['Occupation', 'Science and engineering associate professionals'], '<http://data.europa.eu/esco/isco/C31>')","['Occupation', 'Science and engineering associate professionals']",<http://data.europa.eu/esco/isco/C31>,Occupation Science and engineering associate professionals
486,"(['Occupation', 'Health associate professionals'], '<http://data.europa.eu/esco/isco/C32>')","['Occupation', 'Health associate professionals']",<http://data.europa.eu/esco/isco/C32>,Occupation Health associate professionals
487,"(['Occupation', 'Business and administration associate professionals'], '<http://data.europa.eu/esco/isco/C33>')","['Occupation', 'Business and administration associate professionals']",<http://data.europa.eu/esco/isco/C33>,Occupation Business and administration associate professionals
488,"(['Occupation', 'Legal, social, cultural and related associate professionals'], '<http://data.europa.eu/esco/isco/C34>')","['Occupation', 'Legal, social, cultural and related associate professionals']",<http://data.europa.eu/esco/isco/C34>,"Occupation Legal, social, cultural and related associate professionals"
489,"(['Occupation', 'Information and communications technicians'], '<http://data.europa.eu/esco/isco/C35>')","['Occupation', 'Information and communications technicians']",<http://data.europa.eu/esco/isco/C35>,Occupation Information and communications technicians
490,"(['Occupation', 'Clerical support workers'], '<http://data.europa.eu/esco/isco/C4>')","['Occupation', 'Clerical support workers']",<http://data.europa.eu/esco/isco/C4>,Occupation Clerical support workers
491,"(['Occupation', 'General and keyboard clerks'], '<http://data.europa.eu/esco/isco/C41>')","['Occupation', 'General and keyboard clerks']",<http://data.europa.eu/esco/isco/C41>,Occupation General and keyboard clerks
492,"(['Occupation', 'Customer services clerks'], '<http://data.europa.eu/esco/isco/C42>')","['Occupation', 'Customer services clerks']",<http://data.europa.eu/esco/isco/C42>,Occupation Customer services clerks
493,"(['Occupation', 'Numerical and material recording clerks'], '<http://data.europa.eu/esco/isco/C43>')","['Occupation', 'Numerical and material recording clerks']",<http://data.europa.eu/esco/isco/C43>,Occupation Numerical and material recording clerks
494,"(['Occupation', 'Other clerical support workers'], '<http://data.europa.eu/esco/isco/C44>')","['Occupation', 'Other clerical support workers']",<http://data.europa.eu/esco/isco/C44>,Occupation Other clerical support workers
495,"(['Occupation', 'Service and sales workers'], '<http://data.europa.eu/esco/isco/C5>')","['Occupation', 'Service and sales workers']",<http://data.europa.eu/esco/isco/C5>,Occupation Service and sales workers
496,"(['Occupation', 'Personal service workers'], '<http://data.europa.eu/esco/isco/C51>')","['Occupation', 'Personal service workers']",<http://data.europa.eu/esco/isco/C51>,Occupation Personal service workers
497,"(['Occupation', 'Sales workers'], '<http://data.europa.eu/esco/isco/C52>')","['Occupation', 'Sales workers']",<http://data.europa.eu/esco/isco/C52>,Occupation Sales workers
498,"(['Occupation', 'Personal care workers'], '<http://data.europa.eu/esco/isco/C53>')","['Occupation', 'Personal care workers']",<http://data.europa.eu/esco/isco/C53>,Occupation Personal care workers
499,"(['Occupation', 'Protective services workers'], '<http://data.europa.eu/esco/isco/C54>')","['Occupation', 'Protective services workers']",<http://data.europa.eu/esco/isco/C54>,Occupation Protective services workers
500,"(['Occupation', 'Skilled agricultural, forestry and fishery workers'], '<http://data.europa.eu/esco/isco/C6>')","['Occupation', 'Skilled agricultural, forestry and fishery workers']",<http://data.europa.eu/esco/isco/C6>,"Occupation Skilled agricultural, forestry and fishery workers"
